INSERT INTO PRODUZIONE (MINUTAGGIO, COD_REGISTA) VALUES
(89, 401),
(105, 537),
(125, 652),
(136, 700),
(100, 66),
(72, 757),
(82, 357),
(107, 138),
(88, 692),
(106, 422),
(64, 757),
(136, 180),
(108, 497),
(130, 930),
(74, 859),
(129, 778),
(128, 987),
(102, 909),
(92, 204),
(88, 1007),
(65, 890),
(123, 422),
(137, 926),
(72, 22),
(89, 943),
(122, 825),
(113, 801),
(120, 82),
(120, 239),
(82, 304),
(85, 746),
(142, 212),
(92, 857),
(136, 906),
(77, 18),
(139, 352),
(87, 564),
(88, 916),
(75, 924),
(102, 181),
(137, 920),
(70, 728),
(129, 158),
(105, 296),
(68, 796),
(137, 276),
(93, 778),
(126, 946),
(66, 831),
(102, 727),
(114, 593),
(134, 845),
(107, 33),
(77, 64),
(83, 875),
(110, 576),
(140, 853),
(150, 236),
(127, 511),
(127, 621),
(77, 463),
(101, 651),
(75, 149),
(147, 479),
(107, 377),
(81, 567),
(102, 398),
(85, 325),
(73, 552),
(148, 100),
(147, 341),
(111, 422),
(141, 712),
(80, 817),
(96, 777),
(85, 892),
(95, 495),
(114, 787),
(147, 234),
(137, 767),
(70, 848),
(125, 722),
(61, 933),
(60, 171),
(105, 973),
(83, 6),
(132, 687),
(149, 424),
(118, 552),
(76, 132),
(147, 183),
(79, 410),
(80, 720),
(68, 421),
(86, 619),
(85, 649),
(122, 490),
(96, 967),
(80, 375),
(76, 178),
(143, 845),
(129, 804),
(142, 616),
(105, 647),
(80, 88),
(77, 961),
(91, 372),
(66, 735),
(141, 898),
(93, 25),
(147, 412),
(84, 738),
(120, 329),
(61, 943),
(131, 368),
(80, 412),
(80, 171),
(85, 190),
(69, 73),
(63, 930),
(104, 411),
(78, 239),
(82, 751),
(123, 613),
(137, 658),
(94, 923),
(74, 506),
(82, 305),
(146, 203),
(104, 788),
(91, 1018),
(86, 119),
(147, 981),
(91, 844),
(96, 978),
(62, 270),
(110, 607),
(142, 411),
(114, 695),
(75, 819),
(118, 122),
(146, 344),
(100, 725),
(108, 121),
(118, 974),
(118, 670),
(149, 477),
(83, 242),
(94, 866),
(105, 960),
(72, 572),
(133, 1023),
(146, 170),
(98, 451),
(64, 592),
(146, 467),
(100, 792),
(65, 816),
(72, 328),
(70, 818),
(71, 256),
(60, 916),
(129, 937),
(88, 643),
(124, 651),
(136, 660),
(65, 820),
(69, 846),
(136, 179),
(113, 892),
(127, 415),
(79, 152),
(108, 599),
(110, 451),
(66, 841),
(90, 18),
(87, 38),
(118, 181),
(126, 15),
(136, 792),
(88, 845),
(90, 176),
(147, 919),
(87, 601),
(82, 825),
(130, 399),
(134, 426),
(75, 73),
(98, 1023),
(103, 667),
(96, 673),
(91, 835),
(125, 596),
(115, 311),
(110, 927),
(81, 735),
(62, 368),
(117, 534),
(145, 996),
(89, 545),
(133, 289),
(61, 659),
(72, 820),
(138, 460),
(104, 416),
(110, 631),
(150, 65),
(72, 772),
(83, 955),
(74, 998),
(67, 177),
(140, 419),
(125, 1006),
(90, 374),
(100, 512),
(60, 774),
(100, 148),
(135, 143),
(150, 906),
(147, 433),
(104, 319),
(134, 318),
(78, 697),
(119, 862),
(105, 595),
(87, 12),
(116, 352),
(62, 63),
(137, 934),
(143, 957),
(130, 249),
(127, 771),
(140, 681),
(102, 277),
(97, 1013),
(106, 496),
(92, 340),
(125, 736),
(118, 726),
(115, 5),
(93, 519),
(135, 898),
(88, 581),
(124, 949),
(82, 678),
(137, 170),
(130, 179),
(73, 708),
(100, 835),
(118, 633),
(142, 1000),
(120, 70),
(101, 304),
(95, 191),
(116, 721),
(124, 534),
(112, 899),
(85, 715),
(90, 625),
(145, 245),
(109, 114),
(140, 970),
(146, 65),
(60, 613),
(101, 253),
(106, 724),
(113, 646),
(97, 788),
(60, 307),
(114, 372),
(68, 78),
(75, 866),
(150, 804),
(100, 148),
(112, 247),
(133, 452),
(70, 714),
(115, 859),
(126, 362),
(106, 802),
(107, 880),
(135, 523),
(137, 371),
(83, 994),
(116, 1019),
(90, 635),
(100, 365),
(77, 802),
(106, 367),
(115, 997),
(70, 58),
(95, 634),
(75, 733),
(120, 1006),
(79, 1026),
(124, 169),
(100, 183),
(76, 138),
(92, 851),
(103, 635),
(60, 932),
(82, 122),
(70, 274),
(86, 445),
(61, 4),
(77, 857),
(101, 460),
(118, 146),
(75, 261),
(107, 193),
(86, 429),
(130, 839),
(109, 304),
(145, 678),
(78, 161),
(102, 434),
(68, 239),
(110, 766),
(105, 277),
(132, 460),
(121, 672),
(106, 125),
(60, 324),
(137, 725),
(118, 701),
(124, 659),
(80, 211),
(75, 661),
(143, 894),
(92, 219),
(61, 60),
(63, 539),
(104, 193),
(134, 863),
(73, 485),
(97, 607),
(133, 144),
(105, 216),
(61, 799),
(69, 984),
(118, 152),
(62, 108),
(90, 633),
(104, 969),
(118, 23),
(87, 976),
(109, 937),
(82, 622),
(149, 248),
(65, 571),
(87, 209),
(93, 258),
(73, 399),
(145, 70),
(110, 715),
(95, 585),
(143, 997),
(118, 206),
(85, 394),
(123, 22),
(97, 775),
(74, 751),
(68, 810),
(124, 336),
(101, 653),
(137, 785),
(98, 14),
(92, 798),
(115, 551),
(107, 63),
(107, 610),
(129, 703),
(106, 9),
(126, 754),
(130, 969),
(142, 846),
(144, 904),
(148, 1026),
(114, 753),
(130, 854),
(118, 946),
(96, 360),
(98, 212),
(63, 318),
(123, 279),
(146, 88),
(140, 1004),
(93, 832),
(101, 281),
(70, 238),
(70, 555),
(114, 61),
(114, 874),
(80, 27),
(139, 881),
(102, 68),
(135, 50),
(96, 466),
(90, 183),
(92, 327),
(109, 234),
(80, 304),
(144, 988),
(76, 881),
(76, 52),
(89, 874),
(68, 754),
(62, 376),
(110, 672),
(150, 819),
(61, 614),
(85, 811),
(66, 944),
(112, 430),
(124, 878),
(112, 572),
(131, 682),
(136, 173),
(60, 730),
(83, 548),
(91, 23),
(144, 851),
(110, 127),
(96, 289),
(95, 40),
(64, 429),
(86, 999),
(64, 78),
(132, 831),
(115, 384),
(132, 497),
(147, 377),
(124, 550),
(82, 858),
(99, 627),
(73, 513),
(71, 518),
(133, 674),
(73, 18),
(66, 319),
(85, 410),
(104, 259),
(118, 751),
(80, 493),
(94, 77),
(139, 396),
(73, 60),
(75, 992),
(126, 216),
(86, 312),
(62, 707),
(112, 918),
(135, 830),
(123, 54),
(145, 892),
(124, 991),
(146, 813),
(63, 748),
(109, 872),
(126, 277),
(90, 905),
(108, 864),
(134, 26),
(106, 157),
(144, 925),
(105, 198),
(116, 511),
(64, 155),
(96, 153),
(107, 425),
(93, 775),
(122, 25),
(135, 801),
(86, 321),
(78, 961),
(107, 176),
(142, 882),
(109, 920),
(120, 994),
(109, 605),
(73, 342),
(114, 69),
(79, 633),
(88, 966),
(126, 99),
(105, 814),
(143, 391),
(98, 168),
(62, 311),
(80, 349),
(65, 22),
(134, 487),
(71, 305),
(80, 393),
(66, 366),
(133, 186),
(101, 468),
(147, 265),
(130, 791),
(135, 621),
(62, 130),
(93, 1018),
(64, 675),
(63, 572),
(134, 667),
(140, 4),
(98, 250),
(77, 746),
(66, 558),
(146, 798),
(138, 244),
(118, 614),
(85, 432),
(80, 897),
(146, 558),
(116, 63),
(64, 465),
(70, 29),
(137, 116),
(147, 464),
(142, 473),
(95, 811),
(141, 393),
(138, 267),
(72, 245),
(87, 697),
(127, 512),
(97, 401),
(66, 812),
(122, 456),
(70, 217),
(107, 940),
(88, 475),
(81, 981),
(142, 83),
(61, 115),
(123, 360),
(144, 134),
(118, 888),
(60, 663),
(72, 635),
(138, 1018),
(76, 979),
(80, 475),
(120, 64),
(100, 657),
(76, 1017),
(101, 199),
(88, 938),
(66, 964),
(67, 751),
(129, 703),
(85, 243),
(73, 865),
(103, 411),
(66, 256),
(112, 653),
(140, 29),
(112, 763),
(103, 714),
(93, 38),
(135, 634),
(126, 668),
(91, 490),
(122, 963),
(85, 659),
(145, 202),
(104, 369),
(61, 28),
(72, 642),
(130, 991),
(84, 404),
(106, 954),
(95, 950),
(92, 914),
(104, 27),
(72, 786),
(135, 702),
(118, 917),
(78, 1012),
(101, 393),
(118, 927),
(125, 1028),
(108, 587),
(68, 969),
(63, 785),
(137, 499),
(113, 909),
(133, 546),
(75, 183),
(150, 862),
(102, 265),
(107, 65),
(99, 445),
(137, 806),
(65, 443),
(110, 674),
(140, 948),
(127, 922),
(88, 912),
(93, 424),
(131, 1022),
(121, 924),
(98, 315),
(70, 304),
(116, 999),
(92, 377),
(148, 211),
(130, 873),
(123, 490),
(73, 258),
(132, 767),
(85, 470),
(84, 676),
(93, 73),
(91, 482),
(67, 479),
(106, 748),
(67, 644),
(115, 548),
(141, 154),
(87, 703),
(70, 977),
(106, 183),
(74, 733),
(142, 231),
(148, 24),
(115, 962),
(93, 340),
(63, 705),
(123, 39),
(146, 367),
(95, 234),
(103, 227),
(70, 581),
(81, 262),
(109, 540),
(129, 239),
(134, 728),
(101, 635),
(63, 960),
(99, 331),
(146, 645),
(108, 59),
(116, 664),
(117, 125),
(144, 190),
(102, 28),
(82, 669),
(60, 746),
(65, 812),
(112, 288),
(135, 165),
(138, 230),
(65, 720),
(113, 136),
(95, 279),
(76, 1028),
(70, 708),
(137, 978),
(119, 445),
(92, 888),
(69, 250),
(123, 741),
(75, 751),
(128, 60),
(96, 755),
(88, 51),
(89, 925),
(106, 190),
(68, 846),
(64, 755),
(127, 554),
(82, 859),
(112, 833),
(129, 240),
(141, 501),
(127, 141),
(77, 374),
(79, 723),
(137, 1024),
(100, 554),
(100, 175),
(81, 516),
(61, 92),
(125, 5),
(77, 771),
(133, 562),
(109, 907),
(133, 676),
(60, 18),
(88, 504),
(73, 293),
(105, 669),
(67, 112),
(98, 448),
(70, 766),
(68, 551),
(60, 590),
(112, 787),
(64, 220),
(148, 313),
(95, 786),
(93, 562),
(133, 64),
(117, 673),
(75, 375),
(88, 511),
(78, 667),
(81, 722),
(103, 860),
(98, 936),
(137, 807),
(86, 102),
(134, 108),
(81, 477),
(145, 758),
(105, 318),
(132, 997),
(64, 104),
(68, 523),
(118, 882),
(106, 360),
(149, 850),
(140, 924),
(77, 47),
(120, 443),
(121, 860),
(104, 651),
(149, 578),
(95, 701),
(132, 734),
(134, 220),
(114, 22),
(103, 279),
(112, 328),
(131, 519),
(129, 398),
(99, 574),
(116, 831),
(73, 426),
(123, 775),
(146, 31),
(85, 42),
(100, 139),
(72, 336),
(109, 917),
(74, 582),
(130, 837),
(62, 143),
(112, 515),
(83, 108),
(147, 672),
(73, 236),
(73, 82),
(91, 472),
(67, 208),
(86, 749),
(147, 506),
(137, 841),
(102, 243),
(62, 623),
(126, 781),
(75, 789),
(148, 104),
(150, 835),
(134, 328),
(146, 1028),
(99, 731),
(124, 562),
(86, 508),
(65, 574),
(126, 196),
(141, 70),
(141, 143),
(93, 769),
(133, 112),
(128, 183),
(60, 224),
(137, 558),
(72, 553),
(97, 636),
(133, 221),
(96, 678),
(109, 303),
(100, 131),
(121, 470),
(60, 404),
(78, 585),
(83, 504),
(126, 252),
(109, 173),
(128, 87),
(132, 260),
(114, 178),
(78, 982),
(84, 367),
(95, 261),
(90, 184),
(78, 484),
(135, 756),
(143, 436),
(79, 43),
(100, 810),
(122, 930),
(122, 837),
(102, 432),
(69, 73),
(123, 686),
(76, 583),
(102, 669),
(143, 619),
(89, 861),
(101, 445),
(101, 159),
(88, 752),
(142, 778),
(131, 842),
(110, 220),
(116, 769),
(138, 847),
(134, 375),
(120, 578),
(99, 796),
(142, 407),
(66, 509),
(81, 368),
(141, 985),
(72, 186),
(122, 1011),
(117, 873),
(143, 7),
(101, 1028),
(64, 565),
(110, 160),
(128, 68),
(82, 871),
(105, 1015),
(135, 816),
(75, 261),
(78, 337),
(96, 689),
(77, 302),
(107, 751),
(108, 489),
(142, 388),
(119, 773),
(100, 186),
(86, 209),
(118, 751),
(141, 499),
(124, 18),
