INSERT INTO ISCRIZIONE (COD_PROD, DATA_PROIEZIONE, ORA, COD_SPETTATORE) VALUES
(1, '2024-09-08', '01:21', 9001),
(2, '2024-09-04', '18:24', 9001),
(3, '2024-09-01', '15:12', 9001),
(4, '2024-09-08', '03:30', 9001),
(5, '2024-09-10', '00:49', 9001),
(6, '2024-09-10', '16:31', 9001),
(7, '2024-09-04', '06:41', 9001),
(8, '2024-09-08', '02:53', 9001),
(9, '2024-09-05', '18:43', 9001),
(10, '2024-09-01', '15:29', 9001),
(11, '2024-09-05', '01:50', 9001),
(12, '2024-09-10', '04:24', 9001),
(13, '2024-09-06', '14:46', 9001),
(14, '2024-09-07', '22:26', 9001),
(15, '2024-09-01', '17:49', 9001),
(16, '2024-09-02', '10:26', 9001),
(17, '2024-09-05', '11:48', 9001),
(18, '2024-09-04', '05:54', 9001),
(19, '2024-09-06', '05:53', 9001),
(20, '2024-09-09', '20:23', 9001),
(21, '2024-09-01', '03:52', 9001),
(22, '2024-09-06', '05:22', 9001),
(23, '2024-09-01', '02:52', 9001),
(24, '2024-09-09', '21:23', 9001),
(25, '2024-09-01', '12:35', 9001),
(26, '2024-09-09', '18:09', 9001),
(27, '2024-09-07', '14:52', 9001),
(28, '2024-09-02', '07:07', 9001),
(29, '2024-09-09', '08:27', 9001),
(30, '2024-09-06', '12:34', 9001),
(31, '2024-09-08', '10:54', 9001),
(32, '2024-09-03', '09:23', 9001),
(33, '2024-09-09', '05:23', 9001),
(34, '2024-09-08', '09:55', 9001),
(35, '2024-09-07', '04:44', 9001),
(36, '2024-09-01', '00:53', 9001),
(37, '2024-09-06', '13:37', 9001),
(38, '2024-09-02', '08:57', 9001),
(39, '2024-09-08', '07:23', 9001),
(40, '2024-09-06', '23:36', 9001),
(41, '2024-09-10', '23:44', 9001),
(42, '2024-09-05', '13:36', 9001),
(43, '2024-09-04', '04:20', 9001),
(44, '2024-09-02', '02:44', 9001),
(45, '2024-09-05', '01:15', 9001),
(46, '2024-09-04', '20:23', 9001),
(47, '2024-09-10', '13:04', 9001),
(48, '2024-09-05', '21:12', 9001),
(49, '2024-09-01', '22:04', 9001),
(50, '2024-09-07', '12:45', 9001),
(51, '2024-09-04', '15:15', 9001),
(52, '2024-09-08', '20:43', 9001),
(53, '2024-09-05', '09:34', 9001),
(54, '2024-09-02', '16:17', 9001),
(55, '2024-09-03', '06:36', 9001),
(56, '2024-09-05', '08:46', 9001),
(57, '2024-09-04', '16:52', 9001),
(58, '2024-09-06', '12:14', 9001),
(59, '2024-09-07', '08:01', 9001),
(60, '2024-09-01', '19:34', 9001),
(61, '2024-09-06', '11:28', 9001),
(62, '2024-09-07', '07:01', 9001),
(63, '2024-09-06', '17:49', 9001),
(64, '2024-09-07', '17:59', 9001),
(65, '2024-09-06', '05:49', 9001),
(66, '2024-09-06', '09:34', 9001),
(67, '2024-09-06', '13:29', 9001),
(68, '2024-09-09', '02:38', 9001),
(69, '2024-09-02', '18:17', 9001),
(70, '2024-09-07', '02:31', 9001),
(71, '2024-09-07', '13:27', 9001),
(72, '2024-09-07', '06:04', 9001),
(73, '2024-09-01', '11:13', 9001),
(74, '2024-09-07', '10:18', 9001),
(75, '2024-09-08', '08:42', 9001),
(76, '2024-09-10', '18:36', 9001),
(77, '2024-09-07', '11:12', 9001),
(78, '2024-09-06', '06:23', 9001),
(79, '2024-09-05', '01:15', 9001),
(80, '2024-09-03', '10:53', 9001),
(81, '2024-09-04', '12:46', 9001),
(82, '2024-09-08', '17:23', 9001),
(83, '2024-09-03', '17:24', 9001),
(84, '2024-09-05', '05:32', 9001),
(85, '2024-09-01', '16:50', 9001),
(86, '2024-09-01', '21:27', 9001),
(87, '2024-09-08', '23:47', 9001),
(88, '2024-09-02', '18:59', 9001),
(89, '2024-09-04', '05:51', 9001),
(90, '2024-09-08', '02:16', 9001),
(91, '2024-09-06', '21:43', 9001),
(92, '2024-09-09', '07:44', 9001),
(93, '2024-09-01', '13:27', 9001),
(94, '2024-09-09', '06:22', 9001),
(95, '2024-09-05', '08:02', 9001),
(96, '2024-09-10', '01:47', 9001),
(97, '2024-09-07', '00:20', 9001),
(98, '2024-09-01', '17:23', 9001),
(99, '2024-09-06', '23:05', 9001),
(100, '2024-09-10', '12:51', 9001),
(1, '2024-09-08', '01:21', 9002),
(2, '2024-09-04', '18:24', 9002),
(3, '2024-09-01', '15:12', 9002),
(4, '2024-09-08', '03:30', 9002),
(5, '2024-09-10', '00:49', 9002),
(6, '2024-09-10', '16:31', 9002),
(7, '2024-09-04', '06:41', 9002),
(8, '2024-09-08', '02:53', 9002),
(9, '2024-09-05', '18:43', 9002),
(10, '2024-09-01', '15:29', 9002),
(11, '2024-09-05', '01:50', 9002),
(12, '2024-09-10', '04:24', 9002),
(13, '2024-09-06', '14:46', 9002),
(14, '2024-09-07', '22:26', 9002),
(15, '2024-09-01', '17:49', 9002),
(16, '2024-09-02', '10:26', 9002),
(17, '2024-09-05', '11:48', 9002),
(18, '2024-09-04', '05:54', 9002),
(19, '2024-09-06', '05:53', 9002),
(20, '2024-09-09', '20:23', 9002),
(21, '2024-09-01', '03:52', 9002),
(22, '2024-09-06', '05:22', 9002),
(23, '2024-09-01', '02:52', 9002),
(24, '2024-09-09', '21:23', 9002),
(25, '2024-09-01', '12:35', 9002),
(26, '2024-09-09', '18:09', 9002),
(27, '2024-09-07', '14:52', 9002),
(28, '2024-09-02', '07:07', 9002),
(29, '2024-09-09', '08:27', 9002),
(30, '2024-09-06', '12:34', 9002),
(31, '2024-09-08', '10:54', 9002),
(32, '2024-09-03', '09:23', 9002),
(33, '2024-09-09', '05:23', 9002),
(34, '2024-09-08', '09:55', 9002),
(35, '2024-09-07', '04:44', 9002),
(36, '2024-09-01', '00:53', 9002),
(37, '2024-09-06', '13:37', 9002),
(38, '2024-09-02', '08:57', 9002),
(39, '2024-09-08', '07:23', 9002),
(40, '2024-09-06', '23:36', 9002),
(41, '2024-09-10', '23:44', 9002),
(42, '2024-09-05', '13:36', 9002),
(43, '2024-09-04', '04:20', 9002),
(44, '2024-09-02', '02:44', 9002),
(45, '2024-09-05', '01:15', 9002),
(46, '2024-09-04', '20:23', 9002),
(47, '2024-09-10', '13:04', 9002),
(48, '2024-09-05', '21:12', 9002),
(49, '2024-09-01', '22:04', 9002),
(50, '2024-09-07', '12:45', 9002),
(51, '2024-09-04', '15:15', 9002),
(52, '2024-09-08', '20:43', 9002),
(53, '2024-09-05', '09:34', 9002),
(54, '2024-09-02', '16:17', 9002),
(55, '2024-09-03', '06:36', 9002),
(56, '2024-09-05', '08:46', 9002),
(57, '2024-09-04', '16:52', 9002),
(58, '2024-09-06', '12:14', 9002),
(59, '2024-09-07', '08:01', 9002),
(60, '2024-09-01', '19:34', 9002),
(61, '2024-09-06', '11:28', 9002),
(62, '2024-09-07', '07:01', 9002),
(63, '2024-09-06', '17:49', 9002),
(64, '2024-09-07', '17:59', 9002),
(65, '2024-09-06', '05:49', 9002),
(66, '2024-09-06', '09:34', 9002),
(67, '2024-09-06', '13:29', 9002),
(68, '2024-09-09', '02:38', 9002),
(69, '2024-09-02', '18:17', 9002),
(70, '2024-09-07', '02:31', 9002),
(71, '2024-09-07', '13:27', 9002),
(72, '2024-09-07', '06:04', 9002),
(73, '2024-09-01', '11:13', 9002),
(74, '2024-09-07', '10:18', 9002),
(75, '2024-09-08', '08:42', 9002),
(76, '2024-09-10', '18:36', 9002),
(77, '2024-09-07', '11:12', 9002),
(78, '2024-09-06', '06:23', 9002),
(79, '2024-09-05', '01:15', 9002),
(80, '2024-09-03', '10:53', 9002),
