INSERT INTO VOTA_SPETTATORE (ANNATA_OE, COD_SPETTATORE, COD_OPERA) VALUES
(2024, 5001,  5705),
(2024, 5002,  870),
(2024, 5003,  3150),
(2024, 5004,  155),
(2024, 5005,  3093),
(2024, 5006,  20239),
(2024, 5007,  6724),
(2024, 5008,  562),
(2024, 5009,  10422),
(2024, 5010,  596),
(2024, 5011,  13431),
(2024, 5012,  155),
(2024, 5013,  6644),
(2024, 5014,  15710),
(2024, 5015,  1719),
(2024, 5016,  2977),
(2024, 5017,  417),
(2024, 5018,  25301),
(2024, 5019,  3986),
(2024, 5020,  584),
(2024, 5021,  17419),
(2024, 5022,  28324),
(2024, 5023,  1350),
(2024, 5024,  1197),
(2024, 5025,  1001),
(2024, 5026,  2232),
(2024, 5027,  12400),
(2024, 5028,  22436),
(2024, 5029,  6613),
(2024, 5030,  17477),
(2024, 5031,  17123),
(2024, 5032,  6381),
(2024, 5033,  4175),
(2024, 5034,  19853),
(2024, 5035,  15483),
(2024, 5036,  2170),
(2024, 5037,  968),
(2024, 5038,  23395),
(2024, 5039,  16045),
(2024, 5040,  13664),
(2024, 5041,  2353),
(2024, 5042,  10184),
(2024, 5043,  2103),
(2024, 5044,  5745),
(2024, 5045,  27626),
(2024, 5046,  1681),
(2024, 5047,  1642),
(2024, 5048,  251),
(2024, 5049,  18047),
(2024, 5050,  20669),
(2024, 5051,  15189),
(2024, 5052,  417),
(2024, 5053,  14516),
(2024, 5054,  1750),
(2024, 5055,  15189),
(2024, 5056,  15135),
(2024, 5057,  26024),
(2024, 5058,  2082),
(2024, 5059,  17636),
(2024, 5060,  21307),
(2024, 5061,  20429),
(2024, 5062,  28062),
(2024, 5063,  8091),
(2024, 5064,  2407),
(2024, 5065,  1959),
(2024, 5066,  3321),
(2024, 5067,  2188),
(2024, 5068,  18543),
(2024, 5069,  453),
(2024, 5070,  15710),
(2024, 5071,  379),
(2024, 5072,  670),
(2024, 5073,  2561),
(2024, 5074,  13294),
(2024, 5075,  1964),
(2024, 5076,  2664),
(2024, 5077,  495),
(2024, 5078,  22077),
(2024, 5079,  27221),
(2024, 5080,  3106),
(2024, 5081,  18135),
(2024, 5082,  9682),
(2024, 5083,  82),
(2024, 5084,  402),
(2024, 5085,  23302),
(2024, 5086,  2519),
(2024, 5087,  3112),
(2024, 5088,  14581),
(2024, 5089,  12237),
(2024, 5090,  346),
(2024, 5091,  9186),
(2024, 5092,  2586),
(2024, 5093,  1327),
(2024, 5094,  24808),
(2024, 5095,  5245),
(2024, 5096,  596),
(2024, 5097,  14581),
(2024, 5098,  21782),
(2024, 5099,  12165),
(2024, 5100,  5739),
(2024, 5101,  3106),
(2024, 5102,  874),
(2024, 5103,  1603),
(2024, 5104,  2083),
(2024, 5105,  2302),
(2024, 5106,  15311),
(2024, 5107,  4980),
(2024, 5108,  1932),
(2024, 5109,  14836),
(2024, 5110,  26492),
(2024, 5111,  7436),
(2024, 5112,  17797),
(2024, 5113,  2742),
(2024, 5114,  7436),
(2024, 5115,  464),
(2024, 5116,  2363),
(2024, 5117,  6380),
(2024, 5118,  17039),
(2024, 5119,  2760),
(2024, 5120,  1548),
(2024, 5121,  8312),
(2024, 5122,  3321),
(2024, 5123,  21099),
(2024, 5124,  1318),
(2024, 5125,  26670),
(2024, 5126,  3159),
(2024, 5127,  1611),
(2024, 5128,  27409),
(2024, 5129,  9619),
(2024, 5130,  21522),
(2024, 5131,  596),
(2024, 5132,  27221),
(2024, 5133,  1868),
(2024, 5134,  10422),
(2024, 5135,  26530),
(2024, 5136,  27322),
(2024, 5137,  26492),
(2024, 5138,  3104),
(2024, 5139,  11192),
(2024, 5140,  778),
(2024, 5141,  17636),
(2024, 5142,  4980),
(2024, 5143,  7552),
(2024, 5144,  960),
(2024, 5145,  55),
(2024, 5146,  22050),
(2024, 5147,  1719),
(2024, 5148,  2363),
(2024, 5149,  2977),
(2024, 5150,  2427),
(2024, 5151,  9423),
(2024, 5152,  1984),
(2024, 5153,  892),
(2024, 5154,  25649),
(2024, 5155,  3106),
